Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Presenting to Senior Executives,"Exposure to senior executives (also known as the C suite) can change the trajectory of your career. If you’re presenting to this audience, you need to navigate unique challenges, like getting their attention and garnering action. In this course, learn methods you can use to communicate your message effectively to these key decision makers, resulting in buy-in and response. Discover the value of brevity and the importance of conveying the return on investment (ROI). Learn how to handle challenging questions, frame your message, harness the power of story, and use a high-level approach. Explore how to navigate the unexpected, from interruptions and tech failures to re-engaging the distracted. Additionally, find out how to demonstrate competence, earn credibility, and generate results by making the most of your presentation opportunity.",Course,2021-05-25 13:38 UTC,N/A,false,N/A,
"How to Work Smarter, Not Harder: Save Time and Money and Increase Productivity","More and more people are working from home, managing remote teams, and juggling multiple projects. The time is now to learn how to work smarter, not harder. Luckily, today’s technology makes it easier than ever to increase productivity and efficiency. This course is for anyone trying to grow their business or move ahead in their career without becoming overwhelmed. Chelsea Krost provides tangible tips, tools, and techniques to increase overall productivity and give you back precious time in the day. Learn how to embrace the mindset of successful entrepreneurs and small business owners, manage your time effectively, tackle your to-do list, leverage automation and delegation, and power up your social media, content marketing, and branding strategies to direct more attention and traffic to your business. Each tool and workflow has been tested by Chelsea and her clients—and the skills taught apply to any industry. Start watching and working smarter today.",Course,2021-01-18 13:54 UTC,N/A,false,N/A,
Hosting Virtual Machines in a Multicloud Environment,"Using multiple cloud providers has become the norm for organizations, as multicloud environments can improve security and operational efficiency while potentially reducing costs. In this hands-on course, Microsoft MVP Brien Posey demonstrates how to enable communication between Amazon Web Services (AWS) and Microsoft Azure. Get an overview of multicloud architecture and learn how to set up a cross cloud VPN between  Azure and AWS using only native managed services. You will learn how to configure virtual private clouds, subnets and address ranges, gateway services, firewalls,  and much more. After creating a cross cloud VPN, you will learn how to deploy Active Directory as a managed service, so that you can manage identities across clouds. You will even learn how to keep cloud based directory services synchronized with one another.",Course,2024-08-20 08:24 UTC,N/A,false,N/A,
Journey Mapping: Case Study in Action,"Customer journey maps can be a powerful tool for businesses, offering a clear view into the customer's true experience with a brand, service, or product. In this practical sequel to the introductory course, instructor Jeannie Walters walks through creating an actual customer journey map from start to finish. Jeannie covers each step, including setting goals, gathering data, facilitating a journey mapping workshop, interviewing customers to validate the map, and more. Along the way, she offers plenty of tips and techniques to help focus the process and move your team toward an actionable goal. The course wraps up with ideas for presenting and sharing the completed map, leveraging the findings, and other ways to use this important tool.",Course,2021-06-30 18:09 UTC,N/A,false,N/A,
The Art of Rotoscoping,"Turn your video footage into a work of art. Learn the basics of rotoscoping to build creative effects and to isolate video elements for compositing or VFX. In this course, instructor and mograph artist Eran Stern starts by diving the history and origin of rotoscoping in film and video, providing the background for subsequent practical techniques. He shows how to transform video into natural art—from pencil sketches to Van Gogh paintings, claymation to chalkboard drawings, watercolors to graffiti, and ink blots, Legos, comic books, pastels, and much more. You can also find out how to use the same foundational techniques to isolate elements for compositing and visual effects work, and create simple character animations. Plus, explore the different software for rotoscoping, from Photoshop and After Effects to professional applications such as Mocha AE.",Course,2021-01-20 10:27 UTC,N/A,false,N/A,
Demystifying Audio Synthesis: Beyond The Basics,"Up your levels. Move beyond the basics of sound synthesis, in this course with musician Scott Hirsch. These advanced tutorials explore the inner workings of familiar synth programming techniques, as well as a few alternatives for pushing your sound further. Scott builds from modular-component synthesis to other types of synthesis, including frequency-modulation (FM) synthesis, modeling synthesis, and vocoding techniques. The course finishes up with a series of tutorials on creating new sounds, including a classic vocoder effect, big moving basslines, evocative percussion patterns, and rich synth pads.<br><br>Note: Scott uses a combination of Ableton Live, Native Instruments software, and Logic Pro in this course, but you can easily recreate the techniques in the DAW of your choice. The specific synths used include Native Instruments Massive; Logic Pro Alchemy and the Sculpture plugin; and Collision in Abelton Live.",Course,2022-02-15 11:09 UTC,N/A,false,N/A,
Running a Video Production Business,"Get a crash course in running a successful video production business. Whether you are managing a team within a larger organization or running an independent firm, this course can help you get strategic with your productions, solve on-set problems, and deliver results to your clients. Rich Harrington and Amy DeLouise are experienced production company owners who also consult regularly with top in-house teams. They kick off the course with some advice on defining your market and your mission and building out a solid customer base. Rich and Amy also show how to build an effective team of contractors and full-time staff, and establish a technical workflow for smoother productions. Plus, get tips for creating detailed proposals and competitive pricing to help you land more jobs.<br><br>

This course was created by RHED Pixel. We are pleased to offer this training in our library.",Course,2021-05-22 13:01 UTC,N/A,false,N/A,
Learning Pix4D Drone Mapping,"Pix4D is a leader in small unmanned aerial system (sUAS or ""drone"") photogrammetry, building software that enables users to analyze complex image data and create orthomosaics and 3D models, all from photographs. With a drone, a camera, and the powerful processing engine in Pix4D, the science of photogrammetry is accessible to just about anyone. In this course, you can learn the basics of using Pix4D. Instructor Paul Tice explains how Pix4D pairs with different drones and cameras, and then shows how to program simple 2D missions for your drone with Pix4Dcapture. He then shows how to prepare for flight and retrieve the data and imagery once your drone has landed. In the last few chapters, Paul dives into Pix4D Desktop, where he shows how to process your data and produce outputs such as point clouds, 3D maps, and models. Plus, learn how to deal with large projects and turn the power of Pix4D onto architecture, engineering, and construction (AEC) data, such as 3D building scans.",Course,2021-12-10 16:41 UTC,N/A,false,N/A,
Project Management Skills for Leaders,"It’s easy to think of project management as some specialized magic that only certified project managers possess, but the truth is, we all manage projects at one time or another. If you’ve ever coordinated an event or activity with a defined start and end date, then you, too, have managed a project, even if you didn’t realize it at the time. In this course, instructor Dana Brownlee shows how project management skills can help you to become a better, more effective leader and make a measurable impact in the new world of work.<br><br>Learn specific tactics and techniques based on project management principles and strategies. Get the skills you need to develop a schedule with realistic estimates, analyze risk, design a kickoff meeting, delegate tasks, elicit effective status updates, and build a strong team culture. Dana helps you understand more about how to leverage your new skills in an increasingly challenging virtual or hybrid workplace.",Course,2024-10-21 13:48 UTC,N/A,false,N/A,
Learning AutoCAD (2021),"Explore the basics of AutoCAD 2022 in this course designed for beginners. Learn about the interface, drawing and design techniques, generating simple geometry, creating annotations, and building documentation that is suitable for sharing and printing. Autodesk Certified Instructor (ACI) Shaun Bryant demonstrates step-by-step how to create precise drawings for architecture, construction, manufacturing, and more. The course offers foundational knowledge needed to create simple, annotated drawings and prepares the learner to further develop AutoCAD skills.",Course,2021-08-10 10:18 UTC,N/A,false,N/A,
Agile Project Management with Jira Cloud: 2 Lean and Agile Processes,"In this course, explore the difference between lean and agile, and learn to identify kanban systems. Walk through what scrum is, learn how to define velocity and scrum roles, and start creating a scrum project. Discover quick searches and basic searches, as well as how to use both in Jira. Plus, explore Jira Query Language (JQL).<br><br>Note: To check out other Atlassian University courses about Jira workflows, reporting, automation, and more, click <a href=""https://university.atlassian.com/student/catalog/list?category_ids=21560-jira-software?utm_source=linkedin-learning&utm_medium=comarketing&utm_campaign=P:uni-training*O:university*C:bio*I:linkedin-learning*"" target=""_blank"">here</a>.<p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/atlassian-agile-project-management-professional-certificate"" >Professional Certificate</a> from Atlassian.</p>",Course,2022-05-12 09:51 UTC,N/A,false,N/A,
Learn Animation Production in Blender 2.9,"Have you ever wanted to create an animated scene, but thought it was too complicated, or just didn’t know where to start? Then try this course from Darrin Lile, as he walks you through the creation of an animated scene using Blender, a free, open-source software. Darrin shares a scene of a spaceship landing in a cargo bay, and then shows you everything that goes into making that scene, from the first polygon to the final render. He details how to import reference images to create 3D models, how to use the Node Editor to create the materials and textures for the 3D objects, and how to build star fields, planets, and cloud layers. He then dives into the animation, starting with the landing gear, and explains how to use the Graph Editor as you bring the ship in for a landing. To finish the animation, Darrin shows you how to mix music and sound effects in the Video Sequence Editor, before executing the final render of the animated scene.

<br><br>
Note: This course was created by Darrin Lile. We are pleased to host this training in our library.",Course,2023-04-30 10:25 UTC,N/A,false,N/A,
Learning Autodesk Inventor,"This course introduces you to the interface and key processes of Inventor, the parametric design system from Autodesk. Author John Helfen covers sketching, part modeling, assemblies, and drawings. These tasks work in conjunction, allowing you to create parts and assemblies and document them in a way so that the manufacturing process proceeds faster and more efficiently.",Course,2020-11-03 14:40 UTC,N/A,false,N/A,
Learning Graphic Design: Techniques,"Take a creative refresher course with these 18 simple design techniques that will immediately improve your layouts, brought to you by John McWade, founder and creative director of <em>Before & After</em> magazine. These tutorials combine instruction on topics like designs without graphics, extreme cropping, big and small type, logo design, and more, with John's distinct visual learning style.<br><br>

This course was created and produced by the <em>Before & After</em> magazine team. We are honored to host this content in our library.",Course,2018-08-14 18:10 UTC,N/A,false,N/A,
The Secret to Better Decisions: Stop Hoarding Chips,"All day, we make decisions—from what to have for lunch to whether or not to shut down a product line. These decisions shape our careers and haunt our dreams.
<br><br>
It turns out that people aren’t very good at making decisions, and the main reason is simple: we hoard our chips. We overvalue things we’ve built, experiences we’ve endured and assets we’ve acquired. As a result, we get stuck. Too many dead ends and too many regrets.
<br><br>
The promise of this course is simple: You and your coworkers will finally be able understand why we get stuck and what to do about it. With engaging stories and a new way to talk about the issue, Seth Godin helps you see how to stop being manipulated and start leading instead.",Course,2022-02-10 13:21 UTC,N/A,true,N/A,
Demystifying Advanced and Complex Security Topics,"<p>Have you ever wanted to know more about the complex world of cybersecurity, but weren’t sure where or how to begin? This course is designed to help you unravel the intricacies of some of the most important and most challenging topics in today’s cybersecurity landscape, particularly if you already have a basic understanding of the field and are looking to learn more about advanced concepts and practices.</p><p>Join industry-leading expert and CISO Jerich Beason as he covers a wide variety of topics, including advanced threat detection, complex network security architectures, cutting-edge cybersecurity technologies, and the latest trends in cyberdefense strategies. By the end of this course, you’ll be prepared to identify, think about, explain, and address complex cybersecurity challenges using industry-leading protocols and practices.</p>",Course,2024-10-28 12:57 UTC,N/A,false,N/A,
Building Roofs with Revit,"What's a room without a roof? This course covers the topic of adding roofs, roof framing, and detailing with Revit: from flat roofs to fun, free-form roofs and everything in between (hip, gable, mansard, Dutch hip combination, and gambrel). Eric Wing dives into flat roofs first, showing how to pitch insulation to roof drains, add crickets, and warp roofs to fit sloped framing. From there, he shows how to create pitched roofs, add dormers, and punch holes for skylights. Of course no roof can exist without a structure, so he also focuses on adding framing and trusses to support any roof shape. Looking for something more ornate? The final chapter shows how to add truss, valley, and wall attachment details for colonial, oriental, and gothic roof styles.",Course,2022-02-22 14:05 UTC,N/A,true,N/A,
InDesign 2021 Essential Training,"InDesign is an essential tool for design firms, ad agencies, magazines, newspapers, book publishers, and freelance designers around the world. In this course, instructor David Blatner presents a thorough explanation of the core features and techniques that make this powerful page-layout application fun and easy to use, providing a foundation upon which advanced skills and workflows can be built. David gets you up to speed fast, with a quick start chapter that teaches you the basics in less than 20 minutes. Then he dives into the details, including managing documents and pages, editing text and graphics, creating interactive documents, and much more. Take the entire course, or focus on just the features you need to learn. Every lesson brings you one step closer to InDesign proficiency—an essential skill for any career in design or publishing.",Course,2022-08-03 11:40 UTC,N/A,false,N/A,
Addiction: A Community Issue,"Addiction is a public health issue that impacts us both at work and at home. But while this problem is widespread, the stigma surrounding addiction can make seeking help a challenge. This brief course was designed to help demystify addiction and provide employees with strategies, tools, and resources for helping themselves and others in their community.<br/><br/>Dr. Srini Pillay, a Harvard-trained psychologist, details the difference between recreational behavior and addiction to help you determine whether you or someone you know should seek help. Dr. Pillay shares how to address addiction in yourself or an employee, as well as how to appraise what level of care you or others need and when to approach specific care providers. He explains how addiction can also be present in our relationships with work, technology, food, shopping, and other seemingly benign areas of life. Plus, he helps you evaluate the merits of mobile apps and other new approaches for managing addiction.",Course,2021-04-14 10:04 UTC,N/A,false,N/A,
Professional Networking for Career Starters,"Connect to opportunity. Learn how to build and engage a network when you're just starting out in your career. Jayla Hill explains how networking can help you build professional relationships, explore different interests, and connect with a wide range of people—even if you don't have an established profession. She provides tips for making connections, fostering them, finding a mentor, and even mentoring others. Plus, learn how to ask for informational interviews, request job referrals, and stay in touch with your connections over time. Using these invaluable lessons, you can build a healthy and diverse network that can launch and lead you to success in the professional world.",Course,2021-01-26 17:27 UTC,N/A,false,N/A,
Create a Go-to-Market Plan (2020),"When you launch a new product or enter a new market, it's crucial to have both a roadmap that sets you up for success and the means to track the growth of your program. In this course, discover how to build and develop a go-to-market (GTM) plan for your next product or service. Join renowned marketing author Deirdre Breakenridge as she takes you through the steps needed to bring your product or service to the world. Deirdre helps you discern whether you need a GTM plan, and shows how to build a product strategy that's tailored to the market and customer base you aim to reach. She shares methods for pricing and promotion, and explains how to drive better channel performance, evaluate KPIs and metrics, and more.",Course,2022-01-25 11:02 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:4586280,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:4586280,Course,2024-07-11 07:55 UTC,N/A,false,N/A,
SketchUp Pro 2024 Essential Training,"Find out how you can build your design ideas with SketchUp Pro. In this essential training, interior designer and instructor Tammy Cody teaches you the essentials of SketchUp and helps you build a solid foundation in 3D modeling. Get an overview of essential tools and learn how to make the most of proper modeling techniques and organization. Explore the user interface, as well as how to manipulate objects, draw in SketchUp, and model from a floor plan image. Go over several organizational tools available to you in SketchUp, and learn how to apply and edit materials. Plus, find out how to document and stylize your work. Practice models throughout the course give you chances to apply what you learn.",Course,2025-04-06 16:01 UTC,N/A,false,N/A,
Nano Tips to Accelerate Your Goals with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.  In this installment, learn commonly overlooked, counterintuitive, and must-know tips that truly make a difference when it comes to achieving your goals, exploring key insights from peak performance researcher and behavioral strategist to Fortune 500 companies, Shadé Zahrai.  
<br><br>
Gleaned from research and global experience, Shadé explains the importance of setting goals aligned with your purpose for greater motivation, why you should break your bigger-picture goals into sub-goals, and the importance of setting milestones. She also imparts tips for increasing your chances of success and how to reignite your passion, confidence and goal-achieving momentum.",Course,2025-08-24 18:33 UTC,N/A,false,N/A,
SOLIDWORKS: Modeling a Bicycle,"Cycling is more popular than ever, and many people are opting to build their own frames. Whether you love bikes and you want to build your own frame, or if you just want to practice your own SOLIDWORKS skills in a fun and practical way, join design engineer and avid cyclist Johno Ellison as he shows how to create a rigid bike frame based on real-life frame geometry. He shows how to create the frame, identify off-the-shelf parts such as handlebars, combine them into an assembly, and prepare drawings for the final product. Throughout the course, Johno shows some of the more practical aspects of bike building, as well as how they relate to SOLIDWORKS and CAD in general, giving you a great way to apply your modeling skills.",Course,2023-01-03 18:18 UTC,N/A,true,N/A,
Solution Sales,"The modern buyer is more knowledgeable and savvy than ever before. By taking a collaborative approach with the buyer and developing solutions, instead of relying on outdated sales tactics, professional sellers can create real value for clients and subsequently close more deals. Learn the <i>solution selling</i> method, and find out how to shift the emphasis from product features to customer value.<br><br>

Leadership and revenue growth expert Scott Edinger explains what selling a solution really means and why it is vital when selling large deals or sophisticated products and services. He shows how to develop the solution-selling mindset, cultivate peer-level relationships with customers, identify real objectives, and create value. By understanding how to implement the solution-selling methodology, you can create natural and pressure-less sales interactions that accelerate revenue growth and improve customer loyalty.",Course,N/A,N/A,true,N/A,
SOLIDWORKS: Designing for Consumer Electronics,"Consumer electronics are all around us, and new products are created every year. In this course, instructor Johno Ellison teaches the basics of designing these items in SOLIDWORKS. Through this project-based course, he shows you how to design a game controller using SOLIDWORKS features like lofts, fillets, mirroring, and shell. Course projects include creating an assembly, adding fastening details, and even creating the buttons, joystick, and printed circuit board that go into the controller. Johno concludes with a discussion of development and potential next stages in the design process.",Course,2021-02-24 10:56 UTC,N/A,false,N/A,
Data-Driven Learning Design,"Work skills are starting to have increasingly shorter shelf lives. Consequently, professionals of all stripes need access to high-quality learning and development (L&D) options that equip them with the skills they need to remain competitive. In this course, learn how L&D professionals can leverage the power of data to create learning content that more effectively helps learners upskill. Learn about the data-driven learning design process and how to build a data strategy of your own. Instructor Lori Niles discusses the importance of data analysis on learner behavior prior to solution design. She also details how marketing uses data—and how L&D professionals can apply some of those techniques to increase content consumption. Plus, learn how to make informed decisions when choosing a learning management system, leverage data to have more successful conversations with stakeholders, and start closing learning gaps at your organization.",Course,2021-05-14 10:34 UTC,N/A,false,N/A,
Illustrator 2023 Essential Training,"Adobe Illustrator can be used to accomplish many different design tasks. For this reason, this course teaches core concepts and techniques that can be applied to any workflow for print, the web, or assets that will find their way into other applications. Instructor Tony Harmer explains the elements that make up the artboard, basic shapes, transforming objects and more. He discusses vector graphics—paths, strokes, and fills—and shows how to use each of Illustrator's drawing tools. He demonstrates how to combine and clean up paths and organize them into groups and layers. Tony also covers text editing, working with color, expressive brush drawing, effects, and much more.",Course,2023-01-18 22:40 UTC,N/A,false,N/A,
"Business Analytics Foundations: Descriptive, Exploratory, and Explanatory Analytics","<p>Business analytics allows us to learn from the past and make better predictions for the future. There are three types of analytics used for learning from the past. <em>Descriptive</em> analytics summarizes historical data; <em>exploratory</em> analytics uncovers hidden patterns; and <em>explanatory</em> analytics reveals the reasons for business results. Each type encompasses a different set of tools, technologies, processes, and best practices to derive insights from data. This course by Kumaran Ponnambalam explains why they matter and how and when to use them.</p><p>

He starts by setting the context for business analytics and its various stages. Then, explore the stages that focus on the past: descriptive, exploratory, and explanatory. Learn about the processes, techniques, and best practices used in the field, and see a use case that demonstrates how analysis is performed at each stage. Finally, learn about some emerging trends in business analytics like generative AI, augmented analytics, and advanced visualizations.",Course,2025-01-02 10:59 UTC,N/A,false,N/A,
"Business Analytics Foundations: Predictive, Prescriptive, and Experimental Analytics","Business analytics encompasses a set of tools, technologies, processes, and best practices that are required to derive knowledge from data. It's an iterative and methodical exploration of data to derive insights from it—and, in turn, make smarter, more strategic decisions that are grounded in facts. In this course, learn about the stages in business analytics that are used to predict and build the future—predictive analytics, prescriptive analytics, and experimental analytics. This course dives into each stage, discussing the tools and techniques used for each, as well as best practices leveraged in the field. In addition, the course lends a real-world context to these concepts by using a use case to demonstrate how to execute analytics in each stage.",Course,2024-12-29 19:20 UTC,N/A,false,N/A,
Building Resilience as a Leader (2019),"Research tells us that resilience is one of the key attributes of successful leaders. Resilience can help you face challenges, navigate obstacles, and thrive in your role. But it can also help you lead your team and your business to bigger and better results. In this course, psychologist and executive coach Gemma Leigh Roberts helps you develop a resilient mindset, a resilient team, and a resilient organization that can weather risk and change. The tips and strategies Gemma offers are approachable and actionable—designed for busy leaders who need an extra edge to survive and thrive in challenging times.",Course,2020-12-29 22:44 UTC,N/A,false,N/A,
Learning QGIS,"Enrich your GIS data and make more effective maps with QGIS. Gordon Luckett shows how to get QGIS up and running on your computer and create both 2D and 3D maps with vector and raster data. Plus, learn how to stylize maps, get more insights from data with overlays and heat maps, and publish results with powerful Python-driven plugins for QGIS.",Course,2022-02-11 14:08 UTC,N/A,false,N/A,
Be the Manager People Won't Leave,"<div><a href=""https://www.linkedin.com/newsletters/6457790820677410816?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Laurie's LinkedIn Newsletter</a></div><p>With the ""Great Reshuffle,"" employees are quitting their jobs at the highest rates in over 20 years, and 41% of the global workforce is considering leaving their jobs. Manager relationships are becoming the make-or-break point for whether employees stay or go. Join veteran HR leader Laurie Ruettimann as she reveals the data behind why it's more important than ever to be a manager who demonstrates empathy and inspires loyalty from the workforce. Laurie covers basics first: be someone people can trust, be an example of integrity, and be relentlessly inclusive. She steps you through ways to inspire your employees to grow. Laurie finishes up by showing you how you can help your team members love their work by being a next-level mentor, a fun-loving boss, and a leader who is genuinely invested in your employees’ well-being.</p>",Course,2022-01-30 20:00 UTC,N/A,false,N/A,
Difficult Conversations: Talking about Race at Work,"People around the world are having difficult conversations about race and justice. But few are talking about <i>how</i> to talk about race. This has left some professionals sitting on the sidelines because they don't know what to say or how to say it. In this course, negotiation and conflict resolution expert Kwame Christian shows how to apply a useful framework to open up an effective dialogue at work and facilitate understanding. Kwame highlights the barriers that make talking about race so challenging. He then shares how to apply a framework that provides a consistent tool for how to have these conversations. Using this framework, you can acknowledge and validate emotions, use curiosity to open up dialogue, and work with others to determine what you're trying to solve. Plus, Kwame shares general tips for talking about race, including how to avoid common pitfalls and talk to your kids about race and society.",Course,2020-12-04 13:53 UTC,N/A,false,N/A,
Illustrator for Fashion Design: Drawing Flats,"Learn to draw detailed technical flats, or CADs, for the fashion industry using Adobe Illustrator. This course provides easy-to-follow step-by-step instructions to get you up and running quickly. By focusing on only the tools and techniques needed for fashion, you can generate professional-quality fashion flats in no time.<br><br> 

Robin Schneider—a fashion designer and Otis College of Art and Design instructor—teaches you how to easily master the Pen tool as she walks you through drawing shirts, pants, skirts, and blazers. Learn how to maximize the power of Illustrator with Pathfinder, organize layers for quick and easy editing, and create custom symbol libraries. Plus, get tips and tricks to increase productivity and learn to lay out your designs in presentation-worthy line sheets.",Course,2022-03-07 18:01 UTC,N/A,false,N/A,
Python in Excel: Data Outputs in Custom Data Visualizations and Algorithms,"Excel is a powerful tool for data and business analysis, and Python is one of the world’s most popular and dynamic programming languages. Python in Excel works as a sandbox environment. It enables developers and business users to test small parts of code by creating visuals and running algorithms on existing data. In this course, data analytics and business analysis expert Helen Wall focuses on how Python can expand the existing capabilities of Excel. Explore the process and framework of setting up Python to create DataFrame objects and other outputs in Excel. Dive into ways you can use these outputs and objects in custom data visualizations and algorithms that Excel does not have natively, but which Python can create with code. This course highlights ways you can harness the strengths of both Excel and Python in one interface.",Course,2024-12-13 12:52 UTC,N/A,true,N/A,
Building Resilience (2014),"Have trouble getting by when the going gets tough? Everyone wants to perform well when the pressure's on, but a lot of us withdraw in times of stress or adversity. If you can build your resilience, you'll have an easier time facing new challenges and earn a valuable skill to offer employers. In this course, Kelley School of Business professor and professional communications coach Tatiana Kolovou explains how to bounce back from difficult situations, by building your ""resiliency threshold."" She outlines five training techniques to prepare for difficult situations, and five strategies for reflecting on them afterward. Find out where you are on the resilience scale, identify where you want to be, and learn strategies to close the gap. <br><br>Note: This course was featured in <i>Market Watch</i>, <i>Inc.</i>, <i>Fortune</i>, <i>Forbes</i>, and <i>Entrepreneur</i>.",Course,2021-02-05 12:25 UTC,N/A,false,N/A,
Speaking Up At Work,"Want to ensure that your best ideas are heard by the right people in your organization? Improve your ability to speak up at work. In this course, join communications and media expert Jessica Chen as she uncovers the common mental barriers that keep professionals from speaking up at work, as well as the steps you can take to actively build your authority. Jessica discusses how your childhood, cultural, and work experiences may have shaped your perception of good communication. She goes over how to ask the right questions and effectively tailor your message to suit your audience. Plus, she shares tips for showcasing your confidence, whether you're speaking to people on video or in person.",Course,2021-01-28 10:09 UTC,N/A,false,N/A,
Social Media Marketing Trends,"<p>Social media is always evolving, requiring companies adapt their marketing strategies to more effectively reach audiences. Learn which social media marketing trends matter now and find out how to use them to drive engagement and sales at your business. This series highlights the top trends to consider adopting, including the next evolution of influencer marketing, dynamic ads, social shopping, and how brands should advocate on relevant social causes. Social media marketing expert Brian Honigman also explores augmented reality features on social media and trends on video platforms such as YouTube and TikTok. Each tip helps you understand the most recent developments in social media and get more meaningful results from your marketing efforts.</p><p>Note: Because this is an ongoing series, viewers will not receive a certificate of completion.<p>",Course,2021-01-13 13:21 UTC,N/A,false,N/A,
Industrial Design Foundations,"Industrial design is at the intersection of culture, technology, and business. As design in general has grown increasingly more accessible, a solid understanding of industrial design has become an even more valuable asset. In this course, instructor Scott Clear
examines industrial design at a high level, and provides practical examples of what a career in industrial design looks like. Scott discusses traditional commercial practices of industrial design, helping you better grasp the knowledge, methodologies, and tools that advance successful design development. Learn about the role of storytelling in design, review a case study of an actual designer, and more.",Course,2018-10-18 20:28 UTC,N/A,false,N/A,
Nano Tips for Using Mindfulness to Handle Difficult Conversations at Work with Lillian Daniels,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, gather practical insights on how to use mindfulness to handle difficult conversations at work.</p><p>Join wellness consultant and employee well-being expert Lillian Daniels as she shows you the basics of maintaining focus, opening your chest, pausing when necessary, and much more. Learn how to leverage curiosity, collaborate effectively, practice self-care, and utilize popular breathing techniques such as belly, box, bee, and 4-7-8. By the end of this course, you’ll be equipped with practical new skills to become more mindful and navigate challenging situations at work.</p>",Course,2024-08-15 08:56 UTC,N/A,false,N/A,
Creating a Communications Strategy,"A communications strategy is the backbone of any good marketing or communications program. It provides a focus, with a clear goal and roadmap for how to best get your message to your target audience, and ensures that your messages are memorable and move people to action. Learning how to craft a communications strategy can help you to be a masterful communicator. In this course, discover ways to identify your audience, build a communications strategy, measure your results, and adjust to feedback. Find out how to break through the noise and connect with your audience clearly reliably and how to respond with consistency when crisis hits.",Course,2021-03-18 08:50 UTC,N/A,false,N/A,
Advanced Photography: Flash,"The right kind of natural light casts an attractive, comforting glow over your shooting location. It's easy to favor this kind of lighting over flash, which, when used poorly, shines a harsh, unflattering light on your subjects. But with the right skills and equipment, you can use flash to artificially create any kind of lighting in nearly any location—instead of having to wait for Mother Nature to set the scene. In this course, Ben Long goes beyond the basics of flash, diving into the intricacies of studio lighting. Learn about the behavior of light, how to leverage modifiers like umbrellas and softboxes, and even how to shop for the right flash and studio strobe. Plus, Ben shares real-world shooting scenarios that can lend these concepts a real-world context.",Course,2021-08-30 10:41 UTC,N/A,false,N/A,
Leading with a Growth Mindset,"<p>As a leader, developing a growth mindset is key to your success. The way you overcome challenges, build relationships, and cultivate a positive culture all stems from your mental agility. In this course, instructor Karen Allen shows you how to strengthen your greatest asset: your mindset. As she explains, your mindset is how you see life and forms the basis for how you live and treat others. Karen illustrates how leaders who operate with a growth mindset create a thriving work environment that fosters more innovation, collaboration, and compassion. Throughout the course, she shows how to focus your mindset to make your brain stronger, and gives you the skills and techniques to help you build a growth mindset to improve your communication, develop other members of your team, and build a culture of trust. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/succeeding-as-a-mid-career-manager-professional-certificate-by-linkedin-learning-24764049"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p>",Course,2021-09-13 18:36 UTC,N/A,false,N/A,
Technical SEO,"<p>Even if the only thing you know about SEO is what the letters S, E, and O stand for, you probably know that good content on your website only goes so far when it comes to improving visibility. In order to maximize ROI and increase leads to your business, you need technical search engine optimization. In this course, SEO expert Dana DiTomaso shows how to optimize your website for SEO by looking at how crawlers work, developing strategies for increasing site speed and discoverability, using schema, architecture, URLs, and image/video to your SEO advantage. Along the way, learn how to leverage analytics data and search results assessments to drive ongoing SEO decisions and platform iterations. In addition to the actual nuts and bolts of SEO, Dana also covers the importance of making concrete recommendations to IT teams and web developers, so you can actually get the fixes implemented that you need. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/digital-marketing-professional-certificate-by-content-marketing-institute"" target=""_blank"">Professional Certificate</a> from Content Marketing Institute.</p>",Course,2025-03-29 07:00 UTC,N/A,false,N/A,
Blender 4.0 Essential Training,"Blender is a powerful open-source solution for 2D and 3D modeling, animation, compositing, and post-production. In this course, get a thorough overview of the feature set in Blender 4.0 and beyond, as well as practical production techniques that combine know-how with a healthy dose of how-to. Instructor David Andrade dives into specific techniques, such as scene layout and modeling, sculpting, texturing and shading, 2D and 3D animation, character rigging (also known as armatures), visual effects and simulations, rendering, and geometry nodes. Plus, get performance-boosting tricks to render your creations even faster. Each lesson helps you gain the control and skill you need to create stunning, professional artwork for multiple platforms: games, movies, and animation.",Course,2024-12-09 08:21 UTC,N/A,false,N/A,
SketchUp 2020 Essential Training,"Build your 3D modeling skills by mastering the basics of SketchUp. In this course, you can get up to speed with this easy-to-use computer modeling application by gaining a foundational understanding of the drawing and design tools offered in the 2020 version of SketchUp. Instructor Tammy Cody covers navigating the interface, manipulating objects, drawing, organizing drawing elements, and working with materials and textures on both Windows and Mac computers. Plus, learn how to apply simple styles and animation to make your 3D projects more polished and presentable. Throughout the course, Tammy provides opportunities for you to practice what you've learned.",Course,2022-01-17 12:51 UTC,N/A,false,N/A,
